"dbh","leaf","branch","bole","bark","total","tree.label","ba"
9.1,0.67,21.3,9.94,1.51,33.42,1,0.00650388219109427
9.1,0.54,20.3,6.21,0.63,27.68,2,0.00650388219109427
9.9,0.72,19.26,13.93,1.69,35.6,3,0.00769768739945839
10.2,0.6,21.77,17.68,1.6,41.65,4,0.00817128249198705
16.7,2.9,28.47,101.94,11.37,144.68,5,0.0219039693789914
17.2,2.39,26.94,90.26,12.35,131.94,6,0.0232352192659501
17.6,3.48,45.09,134.36,12.23,195.16,7,0.0243284935093994
25.1,7.48,81.56,258.55,24.32,371.91,8,0.0494808696922026
25.4,5.83,64.06,254.03,28.46,352.38,9,0.0506707479097498
25.9,4.74,67.5,317.78,30.27,420.29,10,0.0526852941988642
26.2,6.47,70.14,317.66,29.53,423.8,11,0.0539128715282544
26.4,6.53,87.24,339.91,33.62,467.3,12,0.0547391103961486
32.5,11.07,130.81,601.2,56.69,799.77,13,0.0829576810088555
32.5,8.07,110.69,571.22,68.65,758.63,14,0.0829576810088555
32.5,8.55,87.79,595.43,66.18,757.95,15,0.0829576810088555
33,16.09,126.88,559.41,57.22,759.6,16,0.0855298599939821
33,14.06,153.75,588.35,56.21,812.37,17,0.0855298599939821
37.3,3.81,121.29,714.17,84.96,924.23,18,0.109271661075324
38.1,12.69,208.28,723.49,87.96,1041.42,19,0.114009182796937
38.6,13.55,176.9,726.98,68.93,986.36,20,0.117021184753566
38.6,11.96,175.85,857.69,87.19,1132.69,21,0.117021184753566
38.9,8.65,163.33,765.43,78.19,1015.6,22,0.118847235483465
39.4,25.79,335.42,775.29,86.22,1222.72,23,0.121922069293166
41.2,14.23,178.37,811.8,78.77,1083.17,24,0.133316625847736
41.9,16.03,204.44,777.66,92.78,1090.91,25,0.137885286964219
42.2,8.85,185.29,898.75,96.29,1189.18,26,0.139866846530471
42.7,25.46,482.82,1154.17,118.69,1781.14,27,0.143200861734093
43.4,24.11,363.98,781.12,73.36,1242.57,28,0.14793445646489
43.9,23.12,295.5,994.97,90.31,1403.9,29,0.15136271944812
